분류,기관,금융결제원 공식 코드,숫자 코드,한글 코드,영문 코드
국내 카드사 코드,기업 BC,3K,-,기업비씨,IBK_BC
국내 카드사 코드,광주은행,46,-,광주,GWANGJUBANK
국내 카드사 코드,롯데카드,71,-,롯데,LOTTE
국내 카드사 코드,KDB산업은행,30,-,산업,KDBBANK
국내 카드사 코드,BC카드,31,-,-,BC
국내 카드사 코드,삼성카드,51,-,삼성,SAMSUNG
국내 카드사 코드,새마을금고,38,-,새마을,SAEMAUL
국내 카드사 코드,신한카드,41,-,신한,SHINHAN
국내 카드사 코드,신협,62,-,신협,SHINHYEOP
국내 카드사 코드,씨티카드,36,-,씨티,CITI
국내 카드사 코드,우리BC카드(BC 매입),33,-,우리,WOORI
국내 카드사 코드,우리카드(우리 매입),W1,-,우리,WOORI
국내 카드사 코드,우체국예금보험,37,-,우체국,POST
국내 카드사 코드,저축은행중앙회,39,-,저축,SAVINGBANK
국내 카드사 코드,전북은행,35,-,전북,JEONBUKBANK
국내 카드사 코드,제주은행,42,-,제주,JEJUBANK
국내 카드사 코드,카카오뱅크,15,-,카카오뱅크,KAKAOBANK
국내 카드사 코드,케이뱅크,3A,-,케이뱅크,KBANK
국내 카드사 코드,토스뱅크,24,-,토스뱅크,TOSSBANK
국내 카드사 코드,하나카드,21,-,하나,HANA
국내 카드사 코드,현대카드,61,-,현대,HYUNDAI
국내 카드사 코드,KB국민카드,11,-,국민,KOOKMIN
국내 카드사 코드,NH농협카드,91,-,농협,NONGHYEOP
국내 카드사 코드,Sh수협은행,34,-,수협,SUHYEOP
해외 카드사 코드,다이너스 클럽,6D,-,다이너스,DINERS
해외 카드사 코드,마스터카드,4M,-,마스터,MASTER
해외 카드사 코드,유니온페이,3C,-,유니온페이,UNIONPAY
해외 카드사 코드,아메리칸 익스프레스,7A,-,-,AMEX
해외 카드사 코드,JCB,4J,-,-,JCB
해외 카드사 코드,VISA,4V,-,비자,VISA
은행 & 증권사 코드,경남은행,039,39,경남,KYONGNAMBANK
은행 & 증권사 코드,광주은행,034,34,광주,GWANGJUBANK
은행 & 증권사 코드,교보증권,261,S8,교보증권,KYOBO_SECURITIES
은행 & 증권사 코드,단위농협(지역농축협),012,12,단위농협,LOCALNONGHYEOP
은행 & 증권사 코드,대신증권,267,SE,대신증권,DAISHIN_SECURITIES
은행 & 증권사 코드,메리츠증권,287,SK,메리츠증권,MERITZ_SECURITIES
은행 & 증권사 코드,미래에셋증권,238,S5,미래에셋증권,MIRAE_ASSET_SECURITIES
은행 & 증권사 코드,부국증권,290,SM,부국,BOOKOOK_SECURITIES
은행 & 증권사 코드,부산은행,032,32,부산,BUSANBANK
은행 & 증권사 코드,삼성증권,240,S3,삼성증권,SAMSUNG_SECURITIES
은행 & 증권사 코드,새마을금고,045,45,새마을,SAEMAUL
